8964,15,good,30 days of notice are given before closing your account,Terms of Service,"We may also terminate Customerâ€™s free subscriptions without cause, but we will provide Customer with thirty (30) days prior written notice.",The service gives 30 days of notice before closing your account
13940,30,good,A complaint mechanism is provided for the handling of personal data,Privacy Policy,"If you have questions, you can contact Google and our data protection office.
 And you can contact your local data protection authority if you have concerns regarding your rights under local law.</p>",The service provides a complaint mechanism for the handling of personal data
13627,30,good,A complaint mechanism is provided for the handling of personal data,Privacy Statement,"For questions specifically about this Privacy Statement, or our use of your personal information, cookies or similar technologies, please contact our Data Protection Officer/Privacy Office by email at privacy@netflix.com.
 </p>
 <p>The data controller of your personal information is Netflix International B.V.
 Please note that if you contact us to assist you, for your safety and ours we may need to authenticate your identity before fulfilling your request.",The service provides a complaint mechanism for the handling of personal data
13965,10,good,A free help desk is provided,Terms of Service,"We also make various policies, help centers, and other resources available to you to answer common questions and to set expectations about using our services.
 These resources include our Privacy Policy, Copyright Help Center, Safety Center, and other pages accessible from our policies site.</p>",The service provides a free help desk
13626,10,good,A free help desk is provided,Privacy Statement,"<p>If you have general questions about your account or how to contact customer service for assistance, please visit our online help center at help.netflix.com.",The service provides a free help desk
12226,10,good,A free help desk is provided,Terms of Use,"If you believe your account has been terminated in error, or you want to disable or permanently delete your account, consult our Help Center.</li>",The service provides a free help desk
12769,10,good,A free help desk is provided,Terms and Conditions of Use,"If you have any questions concerning the Spotify Service or the Agreements, please contact Spotify Customer Service by visiting the About Us section of our website.",The service provides a free help desk
20295,50,bad,A license is kept on user-generated content even after you close your account,Terms and Conditions,"perpetual,",A license is kept on user-generated content even after you close your account
745,50,bad,A license is kept on user-generated content even after you close your account,Terms of Use,"Sections 3.5 (Release), 4 (Member Conduct and Content), 5 (Submissions), 9 (Trademarks), 11 (Third-Party Content), 14 (Memberâ€™s Representations and Warranties), 15 (Disclaimer of Warranties), 16 (Limits on Liability), 17 (Indemnity), 19 (Disputes), and this Section 20 (Miscellaneous) shall survive any termination or expiration of these Terms.</p>","Couchsurfing keeps the license on your content, even after you close your account"
13082,40,good,A list of all cookies set by the website is provided,Cookie Policy,"What Cookies do we use?</strong>
 <p>Below we list the different types of cookies we may use on the Twitch Services.</p>",The service provides a complete list of all cookies set by its website
16434,30,neutral,Alternative accounts are not allowed,Terms of Use,(h) register for more than one member account;</p>,This service does not allow alternative accounts
10730,30,neutral,Alternative accounts are not allowed,Terms of Service,Create only one account (your own) and use your timeline for personal purposes.</li>,Service does not allow alternative accounts
7434,30,neutral,Alternative accounts are not allowed,Terms and Conditions,You further agree that you will not maintain more than one Account for the same Meredith service at any given time.,Service does not allow alternative accounts
16745,40,good,An onion site accessible over Tor is provided,,,This service provides an onion site accessible over Tor
20757,10,bad,Any liability on behalf of the service is only limited to the fees you paid as a user,Amazon Prime Terms,"<p>IN ADDITION TO OTHER LIMITATIONS AND EXCLUSIONS IN AMAZON.COM'S CONDITIONS OF USE, OUR TOTAL LIABILITY, WHETHER IN CONTRACT, WARRANTY, TORT (INCLUDING NEGLIGENCE) OR OTHERWISE, WILL NOT EXCEED THE LAST MEMBERSHIP FEE YOU PAID.",Any liability on behalf of the service is only limited to the fees you paid as a user
20303,10,bad,Any liability on behalf of the service is only limited to the fees you paid as a user,Terms and Conditions,"UNDER NO CIRCUMSTANCES WILL THE TOTAL AGGREGATE AMOUNT THAT THE MEREDITH PARTIES ARE LIABLE TO YOU EXCEED THE GREATER OF (A) THE TOTAL AMOUNT ACTUALLY PAID TO MEREDITH BY YOU DURING THE TWELVE-MONTH PERIOD PRIOR TO THE ACT, OMISSION OR OCCURRENCE GIVING RISE TO SUCH LIABILITY, (B) THE REMEDY OR PENALTY IMPOSED BY THE STATUTE OR REGULATION UNDER WHICH SUCH CLAIM ARISES, OR (C) ONE HUNDRED DOLLARS ($100).",Any liability on behalf of the service is only limited to the fees you paid as a user or $100
14759,10,bad,Any liability on behalf of the service is only limited to the fees you paid as a user,Terms of Service,<li>Googleâ€™s total liability arising out of or relating to these terms is limited to the greater of (1) â‚¬500 or (2) 125% of the fees that you paid to use the relevant services in the 12 months before the breach</li>,Any liability on behalf of the service is only limited to the fees you paid as a user or $500
13705,10,bad,Any liability on behalf of the service is only limited to the fees you paid as a user,Terms of Service,"AND (B) IN NO EVENT SHALL THE AGGREGATE LIABILITY OF TWITCH, WHETHER IN CONTRACT, WARRANTY, TORT (INCLUDING NEGLIGENCE, WHETHER ACTIVE, PASSIVE, OR IMPUTED), PRODUCT LIABILITY, STRICT LIABILITY, OR OTHER THEORY, ARISING OUT OF OR RELATING TO THE USE OF OR INABILITY TO USE THE TWITCH SERVICES EXCEED THE AMOUNT PAID BY YOU, IF ANY, FOR ACCESSING THE TWITCH SERVICES DURING THE TWELVE (12) MONTHS IMMEDIATELY PRECEDING THE DATE OF THE CLAIM OR ONE HUNDRED DOLLARS, WHICHEVER IS GREATER.
 TO THE EXTENT THAT APPLICABLE LAW PROHIBITS LIMITATION OF SUCH LIABILITY, TWITCH SHALL LIMIT ITS LIABILITY TO THE FULL EXTENT ALLOWED BY APPLICABLE LAW.</p>",Any liability on behalf of the service is only limited to the fees you paid as a user
12242,10,bad,Any liability on behalf of the service is only limited to the fees you paid as a user,Terms of Use,Our aggregate liability arising out of or relating to these Terms will not exceed the greater of $100 or the amount you have paid us in the past twelve months.,Any liability on behalf of the service is only limited to the fees you paid as a user
8968,10,bad,Any liability on behalf of the service is only limited to the fees you paid as a user,Terms of Service,"OTHER THAN IN CONNECTION WITH A PARTYâ€™S INDEMNIFICATION OBLIGATIONS HEREUNDER, IN NO EVENT WILL EITHER CUSTOMERâ€™S OR THE SLACK EXTENDED FAMILYâ€™S AGGREGATE LIABILITY ARISING OUT OF OR RELATED TO THE CONTRACT OR THE USER TERMS (WHETHER IN CONTRACT OR TORT OR UNDER ANY OTHER THEORY OF LIABILITY) EXCEED THE TOTAL AMOUNT PAID BY CUSTOMER HEREUNDER IN THE TWELVE (12) MONTHS PRECEDING THE LAST EVENT GIVING RISE TO LIABILITY.",Any liability on behalf of the service is only limited to the fees you paid as a user
