,point_id,score,point,case,quoteDoc,quoteText
0,5661,50,neutral,There is a date of the last update of the agreements,Terms of Service,Terms of Service <strong>Updated</strong
1,5662,50,blocker,Specific content can be deleted without reason and may be removed without prior notice,Terms of Service,"Fur Affinity reserves the right to enforce these terms via content removal (submissions, journals, comments, etc)"
2,5663,60,bad,Your account can be deleted without prior notice and without a reason,Terms of Service,"account suspension, and account termination at the discretion of its staff"
3,5664,30,neutral,Your private content may be accessed by people working for the service,Terms of Service,"In order to investigate claims and comply with local law enforcement, we reserve the right to monitor any communication using Fur Affinity as the medium."
4,5666,0,neutral,"The terms may be changed at any time, but you will receive notification of the changes",Terms of Service,"Fur Affinity reserves the right to change these documents at any time, without prior notice, and for any reason.
You will be notified of these changes via site announcements.
Continued usage of the site after being notified constitutes acceptance and agreement with any changes."
5,5672,70,bad,Third-party cookies are used for advertising,Privacy Policy,"Third party providers of external services that provide advertising, such as DoubleClick by Google, may track users over time and over our Site and third party apps or websites and such third parties may also place cookies, via our Site."
6,5673,10,neutral,Your personal data is aggregated into statistics,Privacy Policy,"<p>We may track information that will be maintained, used and disclosed in aggregate form only and which will not contain your personally identifiable information.
For example, we may collect IP addresses, browser type and cookie numbers.
We may analyze this data for trends and statistics in the aggregate, and we may use such aggregate information to administer the Site, track users' movement, and gather broad demographic information for aggregate use."
7,5674,10,neutral,The service informs you that its privacy policy does not apply to third party websites,Privacy Policy,You can read more about privacy and cookies set by DoubleClick by Google at https://www.google.com/intl/en/policies.
8,5675,20,good, Pseudonyms are allowed,Privacy Policy,"To register an account at Fur Affinity we request certain personal data from you on the registration form such as your username, password, email address, and date of birth."
9,5677,25,bad,Your data may be processed and stored anywhere in the world,Privacy Policy,"Our computer systems and third party hosting provider systems are currently based in the United States and may be located in other countries, so your personal data will be processed by us in the U.S.
and other countries where data protection and privacy regulations may not offer the same level of protection as in other parts of the world, such as the European Union.
If you create a user account with the Site as a visitor from outside the United States, by using the Site you agree to this Privacy Policy and you consent to the transfer of all such information to the United States, which may not offer an equivalent level of protection of that required in the European Union or certain other countries, and to the processing of that information as described in this Privacy Policy.</p>"
10,8720,10,bad,Third-party cookies are used for statistics,Privacy Policy,"Aggregate Information <p>We may track information that will be maintained, used and disclosed in aggregate form only and which will not contain your personally identifiable information.
For example, we may collect IP addresses, browser type and cookie numbers.
We may analyze this data for trends and statistics in the aggregate, and we may use such aggregate information to administer the Site, track users' movement, and gather broad demographic information for aggregate use."
11,8721,40,bad,Your personal information is used for many different purposes,Privacy Policy,<p>We may provide your personally identifiable information and the data generated by cookies and the aggregate information to the vendors and service agencies that we may engage to assist us in providing our services to you for their use solely to provide us with such assistance.
12,8722,25,good,Your personal data is not sold,Privacy Policy,We will not sell your personally identifiable information to any company or organization
13,8723,50,bad,This service reserves the right to disclose your personal information without notifying you,Privacy Policy,"We will also disclose your personally identifiable information (a) if we are required to do so by law, regulation or other government authority or otherwise in cooperation with an ongoing investigation of a governmental authority, (b) to enforce the Fur Affinity Terms of Service or user agreements or to protect our rights or (c) to protect the safety of users of our Site and our services."
14,8724,50,neutral,There is a date of the last update of the agreements,,
15,8725,15,neutral,This service is only available to users over a certain age,Terms of Service,"By registering an account, you agree that you are at least thirteen (13) years of age in the US or are sixteen (16) if you are a resident of the EU."
16,8726,50,bad,Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,Privacy Policy,"we may transfer your personally identifiable information to a successor entity upon a merger, consolidation or other corporate reorganization in which Fur Affinity participates or to a purchaser or acquirer of all or substantially all of Fur Affinity's assets to which the Site relates."
17,8727,50,neutral,The copyright license that you grant this service is limited to the parties that make up the service's broader platform.,Terms of Service,"When you upload content to Fur Affinity via our services, you grant us a non-exclusive, worldwide, royalty-free, sublicensable, transferable right and license to use, host, store, cache, reproduce, publish, display (publicly or otherwise), perform (publicly or otherwise), distribute, transmit, modify, adapt, and create derivative works of, that content.
These permissions are purely for the limited purposes of allowing us to provide our services in accordance with their functionality (hosting and display), improve them, and develop new services.
These permissions do not transfer the rights of your content or allow us to create any deviations of that content outside the aforementioned purposes."
18,8728,70,bad," Terms may be changed any time at their discretion, without notice to you ",Terms of Service,Our services may change without prior notice to you.
19,8729,40,neutral,They may stop providing the service at any time,Terms of Service,"We retain the right to create limits on our services at any time with or without notice.
We may also impose limits on services or aspects of them or restrict your access to part or all of our services without notice or liability.
We may change, suspend, or discontinue any or all of our services at any time, including availability of any product, feature, database, and content (yours or ours)."
20,8730,50,neutral,Blocking first party cookies may limit your ability to use the service,Privacy Policy,"If you reject cookies, you may still use our Site, but your ability to use some areas of our Site may be limited.</p>"
21,8731,50,blocker,Specific content can be deleted without reason and may be removed without prior notice,Terms of Service,"You agree that we reserve the right to remove, reclaim, or rename any account for any reason."
22,8732,0,neutral,"The terms may be changed at any time, but you will receive notification of the changes",Privacy Policy,"Fur Affinity will post our updated Privacy Policy on our Site, along with notice that the Privacy Policy has been changed so you are always aware of what personally identifiable information we may collect and how we may use this information.
Fur Affinity may also send users a notification notifying such users of any changes to the Privacy Policy."
