,Title,Link,Year
0,Introduction to Computational Fluid Dynamics,https://surp-iitb.herokuapp.com/project.php?param=2101, 2
1,CFD using commercial/opensource tools,https://surp-iitb.herokuapp.com/project.php?param=2102, 2
2,Development of a Toolbox for Evolutionary Optimization,https://surp-iitb.herokuapp.com/project.php?param=2103, third year
3,Conceptual Design of an Aerodynamically Smooth Amphibian Aircraft,https://surp-iitb.herokuapp.com/project.php?param=2104, three
4,Aero-Propulsive Analysis of Airships on VSPAERO,https://surp-iitb.herokuapp.com/project.php?param=2105, three
5,Solution manual book: statics and dynamics (Springer),https://surp-iitb.herokuapp.com/project.php?param=2106, 2
6,Machine Learning Crystal Structures and Defects,https://surp-iitb.herokuapp.com/project.php?param=2107, 2
7,Simulating the physics of self-organization and pattern formation.,https://surp-iitb.herokuapp.com/project.php?param=2108, 3
8,Developing data-based performance indicators for cricket.,https://surp-iitb.herokuapp.com/project.php?param=2109, 2
9,Grid movement methods for fluid-solid interactions,https://surp-iitb.herokuapp.com/project.php?param=2110, 2
10,Semi-analytic methods for solving fluid flow problems,https://surp-iitb.herokuapp.com/project.php?param=2111, 2
11,Modelling of combustion instabilities in a gas turbine combustor,https://surp-iitb.herokuapp.com/project.php?param=2112, Sophomore
12,Computational modelling of a jet diffusion flame,https://surp-iitb.herokuapp.com/project.php?param=2113, 3
13,Analysis of velocity datasets from a jet-double orifice configuration,https://surp-iitb.herokuapp.com/project.php?param=2114, 3
14,Building a jquery backend for a Python-based HTML UI framework,https://surp-iitb.herokuapp.com/project.php?param=2115, 1
15,IPython widgets backend for traitsui,https://surp-iitb.herokuapp.com/project.php?param=2116, 1
16,Improvements to the compyle package,https://surp-iitb.herokuapp.com/project.php?param=2117, 2
17,Building a UI for PySPH,https://surp-iitb.herokuapp.com/project.php?param=2118, 1
18,ParaView reader/viewer for PySPH,https://surp-iitb.herokuapp.com/project.php?param=2119, 1
19,Evolution of epigenetic states,https://surp-iitb.herokuapp.com/project.php?param=2120, 2
20,Epigenetic states and disease,https://surp-iitb.herokuapp.com/project.php?param=2121, 2
21,COVID-19 plasma and swab proteome investigations to develop novel detection and therapeutic strategies,https://surp-iitb.herokuapp.com/project.php?param=2122, First year UGs can also apply
22,Cancer biomarker identification using proteomics and ML,https://surp-iitb.herokuapp.com/project.php?param=2123, Even first year UGs can apply
23,Self-supervised learning for few shot and zero shot image classification,https://surp-iitb.herokuapp.com/project.php?param=2124, 2nd
24,Automatic detection of animal species in videos,https://surp-iitb.herokuapp.com/project.php?param=2125, 1
25,Free Deep learning based plagiarism detector,https://surp-iitb.herokuapp.com/project.php?param=2126, 1
26,Development of Web-based Decision Support Tool for Wastewater Management,https://surp-iitb.herokuapp.com/project.php?param=2127, 3
27,Evolutionary dynamics of the novel coronavirus.,https://surp-iitb.herokuapp.com/project.php?param=2128, anyone interested.
28,Modeling and Simulation of Anisotropic Nanostructures,https://surp-iitb.herokuapp.com/project.php?param=2129, 2nd Year completed
29,Modeling adsorption and reaction of contaminants by nanoparticle impregnated polymeric fibers,https://surp-iitb.herokuapp.com/project.php?param=2130, 2nd Year Completed
30,Development of Thermodynamic Models for Open Source Chemical Simulator using OpenModelica,https://surp-iitb.herokuapp.com/project.php?param=2131, 2nd Year Completed
31,Creation of Custom Models using DWSIM,https://surp-iitb.herokuapp.com/project.php?param=2132, 2nd Year Completed
32,Development of Flash Algorithm for Open Source Chemical Process Simulator,https://surp-iitb.herokuapp.com/project.php?param=2133, 2nd Year Completed
